initialFinish CUDelta[0] CUIdx[0] CUValid[0] CUDelta[1] CUIdx[1] CUValid[1] CUDelta[2] CUIdx[2] CUValid[2] CUDelta[3] CUIdx[3] CUValid[3] CUDelta[4] CUIdx[4] CUValid[4] CUDelta[5] CUIdx[5] CUValid[5] CUDelta[6] CUIdx[6] CUValid[6] CUDelta[7] CUIdx[7] CUValid[7] rowReady rowValid binIdx rowIdx rowDelta[0] rowDelta[1] rowDelta[2] rowDelta[3] rowDelta[4] rowDelta[5] rowDelta[6] rowDelta[7] CUReady[0] CUReady[1] CUReady[2] CUReady[3] CUReady[4] CUReady[5] CUReady[6] CUReady[7] PEReady[0] PEReady[1] PEReady[2] PEReady[3]
1 3617 c5 0 3667 0f 1 35a8 50 1 243f 5c 1 3b1a e2 0 2f65 6f 0 3822 72 1 38d7 be 0 0 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 1 0 1 1 
1 34f1 06 0 343a cd 0 30ac 12 1 349b 58 0 3377 61 1 39e9 e9 0 35ba b2 1 388c 79 1 1 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 0 1 1 0 
1 328e 82 0 23f8 0c 0 27c1 d0 0 27af 1c 0 32e3 e4 0 3481 ef 0 3b27 37 1 347f 7c 0 1 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 0 0 1 1 
1 340b 06 0 3a31 0a 1 39e7 54 0 2e31 5e 1 3bd8 22 1 3a92 ed 0 3951 77 0 38ad fc 0 0 1 2 0 3b12 386a 3a71 0000 2f8f 0000 3782 3ec3 1 1 1 1 1 1 1 1 0 0 0 1 
1 3502 85 1 2e40 8c 1 2d0b 53 0 3a90 59 1 3b9e 66 1 3201 6b 1 3bd5 f6 1 3bd9 bd 1 1 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 1 1 0 0 
1 2783 05 1 3672 4a 1 375c 95 0 3a5a 58 0 3364 26 1 3615 ec 1 34cf 30 1 360a fc 0 0 1 2 1 0000 3df6 395f 36ef 0000 3573 378f 344d 1 1 1 1 1 1 1 1 0 0 1 1 
1 3221 47 1 3901 4e 1 3912 11 1 352f 1a 0 3421 a2 1 306a ea 0 3ae5 32 1 2e48 7c 1 0 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 0 1 1 0 
1 3785 87 1 3ade 4d 0 325b 55 0 386e dd 1 378f e5 0 38a6 ea 0 39c7 33 1 3aac 7e 0 0 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 0 1 1 1 1 1 0 1 1 0 
1 3bc9 40 1 34e7 49 0 2f5e d2 1 3502 1a 1 3ad4 e2 0 38a1 ed 1 3788 32 0 3bd0 f9 1 0 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 0 1 1 1 1 1 1 1 0 0 
1 3ba4 c6 1 342e 4e 0 3886 15 1 3079 9e 1 3be8 a1 1 35db ad 0 3bb4 75 1 3b8b 79 0 0 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 0 1 1 1 1 1 1 0 0 1 
1 3668 87 0 397e 88 1 3b1e 50 1 39d8 99 0 3a45 e7 1 3340 2d 1 3a30 31 1 3953 3b 1 1 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 0 1 1 1 1 1 1 1 0 1 
1 362f c1 1 354a 8e 1 3714 d2 0 3afa df 1 2053 a5 0 3a8a 6f 1 2c97 32 1 38bb b9 0 1 1 2 2 39ee 3865 3ce3 381e 3991 0000 3e17 3c90 1 1 0 1 1 1 1 1 1 0 0 1 
1 3729 80 1 37c1 0f 0 368d 94 1 3968 d9 1 363d a4 0 388c ee 1 39e8 34 0 3866 3b 0 0 1 2 3 3e89 3d06 3957 0000 0000 33d5 3527 395a 1 1 0 1 1 1 1 1 0 0 0 1 
1 39c1 84 1 3b6d 09 1 361d 54 1 38ea 58 0 3156 e1 1 3a48 ee 1 3151 31 0 3bbb ba 0 0 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 0 1 1 1 1 1 0 0 0 0 
1 38a4 42 1 3881 08 1 34a9 d4 1 32b9 18 0 39f7 67 1 3abd 6e 1 3a06 b1 0 3b82 fd 0 1 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 0 1 1 1 1 1 1 1 0 0 
1 3551 00 1 38b5 cb 0 34a9 56 1 38d1 db 1 39f2 61 1 2caf 69 0 35b1 73 1 3371 be 1 0 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 0 1 1 1 1 1 1 1 0 1 
1 378c 00 0 3440 4d 0 31b0 10 1 3bc3 df 1 2d0e 23 1 30f3 2a 0 36ec f4 1 3b73 fd 1 1 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 0 1 1 1 1 1 0 1 1 0 
1 328a c3 0 31be 4d 1 3920 94 1 36f3 59 0 305f e0 0 3b3c 6f 0 27ed 76 0 3259 7b 0 1 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 0 1 1 1 
1 34ab 40 0 3b4d 4d 0 362e 12 1 39b3 59 0 2f33 e7 0 3bea 69 0 35e8 b1 1 32d8 fd 0 1 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 0 0 1 0 
1 3275 c0 0 2ea9 8e 1 3be2 93 1 3add dc 0 3ab9 20 0 31f6 ac 0 3a61 f2 0 35e2 fb 1 0 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 1 0 0 1 
1 353d 81 0 3ad8 c8 1 386a d5 1 39bb 9d 1 38be 66 1 3a23 ab 0 3bb6 71 1 380f 7d 0 1 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 0 1 0 0 
1 34f7 47 0 34d4 08 0 3a20 95 1 3ac5 5b 0 3a2c 24 1 3986 6c 0 3b59 73 0 2ee7 38 0 1 1 3 0 3ba3 2f97 3e46 38e8 0000 3a22 315c 3927 1 1 1 1 1 1 1 1 1 0 0 0 
1 3a89 86 1 34f0 0e 1 2c74 97 0 3486 1e 0 3a54 63 1 38ce ea 1 354e f6 0 1f76 39 1 1 1 3 1 3b49 3d05 409a 0000 2441 3d9b 3de2 33ec 1 1 0 1 1 1 1 1 1 1 0 0 
1 3976 83 0 3a16 8f 1 3018 97 1 39e2 dd 0 3951 27 1 39bd ad 1 3ab5 32 0 3b7d 7e 1 1 1 3 2 3a13 3ca9 3c0c 35b2 395b 3938 3a29 26bf 1 1 1 1 1 1 1 1 1 1 1 1 
1 3930 02 1 3619 c8 0 3796 d5 0 38b6 58 1 25e4 a5 1 389f ef 1 3170 71 0 38f4 fd 0 0 1 3 3 0000 399b 3928 34da 2e88 3ee2 319d 3d22 1 1 1 1 1 1 1 1 1 1 0 1 
1 39e3 81 0 30eb c8 0 3198 12 1 34d2 5d 0 3b71 e4 1 3a14 6e 0 3756 72 0 3077 3e 1 0 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 0 1 1 1 1 1 1 1 1 
1 2d3c 41 0 3964 0c 0 2e4a 54 1 3463 9b 0 3b02 63 0 2d24 69 1 38de b5 0 28e3 bb 1 0 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 0 1 1 1 1 0 0 0 1 
1 3a64 46 0 3448 49 1 3a92 d1 0 373e 1c 0 300e a0 0 3983 e8 1 39ba 32 0 3a32 3c 1 1 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 0 1 1 1 1 0 0 1 0 
1 3b0a 07 0 30e6 4f 0 3a82 51 1 3932 5b 1 3ad0 a7 1 3808 6a 0 3268 34 1 31e4 7d 1 0 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 0 1 1 1 1 0 0 1 0 
1 3ac1 41 1 38e5 48 1 35d2 d2 1 3913 99 1 396c e6 0 3a7a eb 0 2d48 b5 0 3309 f8 1 0 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 0 1 0 0 
1 34d6 84 0 3140 8f 0 346c 97 0 3469 9d 1 30fc a6 1 38b0 28 0 3b7f b3 0 39e4 bd 0 1 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 1 1 1 1 
1 3b49 c3 0 3511 4d 0 3493 52 1 39fb 5e 0 30a3 e0 1 340c 28 0 3a9c 33 0 36cb 39 0 1 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 0 0 1 1 
1 33ef 04 1 35c8 8b 0 3b63 14 1 339f de 0 3bd3 a0 0 30a4 ea 1 3664 30 1 292f fa 1 1 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 0 1 0 0 
1 2f32 81 1 3bc0 0a 1 3a00 56 0 3af8 1a 1 363c a4 1 3a9a 2f 1 3245 36 0 3895 be 0 0 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 0 0 0 0 
1 2a27 40 0 37d1 08 1 3aa7 13 1 3a94 9b 0 3bc0 24 1 3639 2e 0 323a f5 0 3126 39 1 1 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 0 1 1 1 1 1 0 1 
1 358a 07 0 38f3 0f 0 364b 54 0 38f9 19 1 3968 a4 0 2df5 6d 1 3584 73 0 3667 bf 1 0 1 4 0 3bea 3d64 3fcf 331d 401a 38cd 3b38 3ede 1 1 1 1 0 1 1 1 0 0 0 0 
1 3192 45 1 3887 8d 0 36ef 94 0 352d 99 1 39e0 23 1 37a5 2b 0 2d12 71 0 379b 3d 0 0 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 0 1 1 1 1 0 0 0 
1 3733 84 1 389f 0b 0 36d5 10 0 3938 9e 1 36c1 a0 0 38a3 ea 0 3bcf 35 0 36eb 39 0 1 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 0 1 1 1 0 0 1 1 
1 3a1a 87 0 2924 4f 1 3471 13 1 3a61 5f 1 39d5 e3 0 3670 e8 1 3b4a b0 1 39d7 ff 1 1 1 4 1 3b5b 3f48 3c55 3f7b 38c4 384c 40d9 3ac3 1 1 1 1 0 1 1 1 1 0 0 0 
1 3afd 04 0 3aa1 89 1 38ef 96 1 3b78 1c 1 341a e1 1 36ac 6b 0 31ff 31 1 39d8 f8 1 0 1 4 2 39b0 3cfe 3c5e 39c9 3620 3010 3c3f 0000 1 1 1 1 0 1 1 1 1 0 1 0 
1 3be6 40 0 398e 8e 1 3b8d 57 0 2d14 5c 1 3ae2 e2 0 3922 6b 0 39e2 f1 1 3135 7e 1 0 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 0 1 1 1 0 1 1 0 
1 34e6 04 0 39a7 8a 0 3b33 52 0 3a83 1b 0 3591 23 0 359e 28 0 3954 b6 1 3b63 39 1 1 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 0 1 1 1 0 1 1 0 
1 3522 84 0 3b44 0a 0 3738 d3 0 387f 5a 0 2136 66 1 356f e8 1 3916 b1 0 3816 7a 1 0 1 4 3 0000 3678 3ae2 0000 3ca8 0000 3b7c 3f3d 1 1 1 1 0 1 1 1 0 0 1 1 
1 3b14 c2 0 3880 8a 0 2e69 d4 1 35dd 1c 1 299b e0 0 3510 ab 0 137b f0 0 35a0 38 1 1 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 0 1 1 1 0 0 1 0 
1 2789 03 0 3b54 0c 0 34e5 11 0 2b55 99 0 3c00 24 1 3a1f ed 0 35fa f0 1 3bc0 fa 0 1 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 0 1 1 1 1 1 0 1 
1 3524 43 1 39bd 0b 0 39ce 56 0 39b7 1e 1 34bf e3 1 3ae2 e9 0 3bae 36 0 3903 7f 1 0 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 0 1 1 1 1 0 1 0 
1 3a7e 05 1 3478 8b 1 3476 96 1 3abe 9c 1 253f e5 0 31f4 e8 0 25ec f3 0 326f 7b 0 1 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 0 1 1 1 1 0 0 1 
1 39f8 44 0 3ada 49 1 3572 94 0 3ba4 dd 0 3536 e5 1 3887 6f 1 3a45 f2 1 350e fc 1 0 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 1 1 1 0 
1 31fd 85 0 2d19 09 0 3525 13 1 31f6 db 0 266e 63 0 3bab a8 0 3b5d 35 1 39fc ff 1 1 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 1 0 0 0 
1 2fd6 c6 0 3756 0b 1 3b7e 56 0 3424 9b 0 3b2d a6 1 36d5 eb 1 34b0 b1 0 3a41 bc 0 1 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 1 1 1 0 
1 360b c0 1 3a26 0a 0 31f4 55 0 35db db 1 35e4 25 0 3a94 2d 0 29eb f1 0 2bfd 7c 1 1 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 1 1 0 1 
1 39c6 44 0 2240 8d 0 31f8 94 0 36dd 5c 0 3176 62 0 39a7 6a 0 3288 f5 1 36c4 fe 0 1 1 5 0 3bb3 3293 0000 3944 30ca 344d 3955 4001 1 1 1 1 1 1 1 1 1 0 1 1 
1 3ad2 83 0 3998 4e 1 3349 d4 0 3438 5a 0 3a5b 20 0 3168 e9 1 3500 f3 1 3a3e 3e 0 0 1 5 1 4049 2d24 3995 3c8b 41b6 3b29 3abd 3b09 1 1 1 1 1 1 1 1 0 0 0 1 
1 2f51 86 0 2eba 08 0 31ea 53 0 3a42 9d 1 3b80 67 1 3400 af 0 3549 f6 0 34ed bd 1 0 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 1 1 0 0 
1 308d 81 0 3b87 08 0 321e 11 1 2ea9 df 0 246d 67 1 3a34 29 0 33b1 f3 0 3ad5 79 1 1 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 0 1 0 0 
1 39cb 42 1 39cb 89 0 3790 50 0 3949 1e 0 3434 e3 0 3159 a8 0 2ff3 b3 1 3bb6 7f 1 1 1 5 2 3822 3b8c 0000 3505 3546 40c9 3c43 3bac 1 1 1 1 1 1 1 1 1 1 1 1 
1 2ed5 01 1 3a89 08 0 39d4 55 0 2561 df 1 30de 22 1 3968 6b 0 34d7 74 1 34a0 fb 1 0 1 5 3 3e17 3754 3f2d 3489 389c 43eb 3e6b 389f 1 1 1 1 1 1 1 1 0 0 1 0 
1 3a70 43 0 3aa6 8a 0 323a d3 0 357a 9e 0 38a4 e4 0 2e1f ae 1 39e1 f1 0 34f1 fa 1 0 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 0 0 1 0 
1 37d5 41 1 2d14 4f 1 3646 93 0 31e6 1e 0 3788 a1 0 3a63 ac 0 2d72 70 0 2d9d 3c 0 0 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 0 1 1 1 0 1 0 
1 31e0 87 1 3bf5 4f 1 354f 93 0 36c0 5f 1 3bea e2 1 3a78 ac 0 3aeb 73 0 3921 3b 0 1 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 0 1 1 0 1 1 0 
1 379b 81 0 3a56 0d 1 3535 57 1 36af 1f 0 3347 62 0 3950 af 1 2fd5 34 1 3b3b 7b 1 1 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 0 1 1 0 0 1 0 
1 3439 c0 1 355f 0a 0 3afc 16 0 3a88 de 1 3898 20 1 3b71 ec 0 393d 31 1 3b89 bb 1 0 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 0 1 1 0 
1 3bf7 83 0 3bce 4f 0 3bd5 56 0 392a 9f 1 3252 61 0 3ba8 af 0 3849 f7 0 3819 3a 0 1 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 1 1 1 0 
1 3915 44 0 2fce 48 0 343a 90 0 38dc db 1 3969 a5 1 3b4a 2b 0 363c b6 1 3773 fb 1 1 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 0 1 1 0 
1 3121 05 0 3aab 8f 0 2a11 15 0 3ac3 1f 1 394d e4 1 38a6 6c 1 372a 77 1 30fb 3e 0 0 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 0 1 0 0 
1 3447 80 1 393a ce 0 3bf4 15 1 2ec1 db 0 3ade 61 1 3b92 a9 0 3924 31 1 3a98 3d 1 0 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 0 1 1 1 0 0 
1 2fa9 86 1 3744 c9 1 32d3 91 1 3931 9c 0 36a6 66 0 32cc 6c 1 2d3a 71 0 3861 7a 1 1 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 0 1 0 0 0 1 
1 3812 c1 1 3349 c8 1 395b 92 1 390e 5b 0 3943 61 0 3ac4 6f 0 3862 b3 1 2712 3c 1 0 1 6 0 40c9 3eaf 3d2b 3d7b 39ee 3f13 3cd2 3f9c 1 1 1 1 1 1 0 1 0 0 1 0 
1 38c6 02 0 3a8b 08 0 3abe d3 0 3976 dd 0 3590 63 1 3b1a ef 0 3a26 36 0 3b4c 7c 1 1 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 0 1 1 1 0 1 
1 3244 44 1 395d c9 1 3907 96 0 30df 59 1 3b99 67 1 2f58 2e 0 33f8 f2 0 37fd 7c 1 1 1 6 1 0000 3c5f 399e 35b1 3b21 43ba 3b83 3ae8 1 1 1 1 1 1 0 1 0 1 0 0 
1 2d71 c1 0 34bf cc 0 3604 57 0 30ac 9d 1 2f7f 22 1 2f77 6a 1 37d4 73 0 3be4 fe 0 0 1 6 2 3dd2 3c61 3d49 3c45 3477 4001 4051 3958 1 1 1 1 1 1 0 1 0 0 0 1 
1 37ae 47 1 39c4 4c 0 3844 d0 1 28c3 da 1 383f 20 1 3806 e9 1 12a8 b6 0 2fb2 7b 1 1 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 0 1 0 1 1 0 
1 2ce3 46 0 2c70 4d 1 3605 d3 1 37f6 d9 1 367a 26 0 3796 6d 1 3b76 74 0 2847 7d 1 0 1 6 3 3f02 3ec3 3e42 3d16 382a 3f08 40aa 3223 1 1 1 1 1 1 0 1 0 0 1 1 
1 23ff 05 1 3922 c8 0 3b26 96 0 3aeb d9 1 391d 21 0 3af0 2c 1 32e8 f6 0 3949 be 0 0 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 0 1 0 0 1 1 
1 34fc 86 1 354a 09 1 32dd d0 1 3420 df 1 2b0e 21 1 3a89 ad 0 233a b5 0 3787 f8 0 0 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 0 1 0 0 0 1 
1 3841 04 0 398b ca 1 3587 d5 0 3a64 9d 1 34d0 e5 0 3445 2b 1 3bb8 33 0 3a62 78 0 1 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 0 1 1 1 1 0 
1 3995 45 0 3a4e c8 1 2e06 11 0 3a4c 99 1 378e 21 0 39d2 69 0 3934 b7 0 35d4 3f 1 1 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 0 1 0 0 0 0 
1 3291 42 0 36e6 8e 0 378b 55 1 20fd 9c 0 35dc e0 0 3350 2b 0 2b80 f2 0 3b3e 3e 0 0 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 0 1 1 1 1 1 0 1 1 
1 37d1 c0 1 39cd 09 0 3057 d5 1 3061 59 0 3023 26 0 3664 a8 0 3b46 b4 1 17d7 7b 0 1 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 1 1 1 0 
1 2d6c c5 1 3ad9 cb 0 34d3 55 1 39c7 d9 0 33b8 a7 1 2e20 6a 1 38b3 b3 1 34bc 78 0 1 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 0 1 0 1 
1 3815 86 0 367f 8d 0 3371 54 1 34b9 1d 0 347b 25 1 3aab af 0 348c f0 1 3b64 fa 0 0 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 1 0 1 0 
1 35f8 84 0 3912 0e 1 35bd 14 0 38bb 5f 1 358b a2 0 36ed ee 1 3b23 35 0 39e3 7c 0 1 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 1 0 0 1 
1 3a80 c0 0 38bc ca 0 3417 54 1 3735 1e 0 36ef 65 0 2a87 ae 0 3ba8 71 1 1b50 7d 0 1 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 0 1 1 0 
1 2f58 00 1 3780 8d 0 3bcc d2 0 2e6c 18 0 3606 a6 1 38aa ed 0 3084 b2 1 2878 fd 1 1 1 7 0 36b7 3f83 3e04 3ee5 3ee0 4069 3b1b 3aca 1 1 1 1 1 1 1 1 0 1 0 0 
1 3914 c4 1 310e 48 1 3956 90 0 3445 9f 1 3a68 e5 1 2cb3 6b 0 2b62 f4 0 3be0 fe 0 1 1 7 1 3b71 40c3 3f1f 3c9f 40de 32f5 3f06 3ed4 1 1 1 1 1 1 1 1 1 1 1 1 
1 3435 03 0 390d 0f 1 36ac 55 1 35f9 9d 1 3a6d e6 1 3ac3 6a 1 3938 76 1 35d0 b9 0 1 1 7 2 3b5d 38fd 3982 3f18 3c01 3d67 3371 3c82 1 1 1 1 1 1 1 1 0 1 1 1 
1 3bbe c1 1 366c cb 1 39fc d3 1 3b40 5e 0 3508 23 1 39d7 ee 0 3bf7 76 0 3455 f8 0 0 1 7 3 4275 3e0e 3d23 4251 350e 3d8f 3e2f 4192 1 1 1 1 1 1 1 1 0 1 0 0 
1 3b1f 06 1 3526 49 0 391a 91 1 3b72 1a 1 394b e4 1 39fe ec 1 2202 35 0 3686 ff 1 0 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 1 1 1 0 
1 3b95 03 1 38e5 ca 1 389e 57 1 390c 19 0 3a96 62 1 39ec 28 1 3958 f3 0 3367 7e 1 0 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 0 1 0 0 
1 2ef8 81 1 36c3 cb 1 2eba 50 0 378e 58 0 3425 e2 0 3b7f 29 1 3b86 b1 0 202e 3a 0 0 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 0 0 0 1 1 
1 3848 01 0 3613 89 1 3805 53 1 3514 59 1 1c95 63 1 3811 6b 1 3b5d b5 1 366b be 1 1 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 0 1 1 1 0 
1 38cd 81 1 30fd 49 0 2dc4 57 0 2824 9d 0 38bb a5 0 2dfb 2f 1 2a5e f7 0 37ce be 1 0 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 0 0 0 1 1 
1 3b68 83 1 3b19 cb 0 32d7 d7 1 398f 9b 0 3175 a2 0 27e8 ad 1 3a6b b6 0 3675 3c 1 1 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 0 0 0 0 0 
1 26f4 47 1 39f7 0e 1 3abf 93 0 3090 5c 1 3b10 65 0 32f8 28 0 3a81 f2 0 3a1c f9 1 1 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 0 0 1 0 0 
1 3b27 87 0 30c4 89 1 352f 56 1 36f7 9e 1 39e4 e2 0 37f0 aa 1 3171 70 0 3858 fe 1 1 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 0 0 0 1 1 
1 31d2 40 0 3a0a ca 1 3994 12 0 1b31 5f 1 327c 26 1 3914 6f 1 3a14 b6 0 38eb be 0 1 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 0 1 1 1 1 
1 2f5f 41 1 3413 ce 0 34df 10 0 371b 1d 0 2d62 26 0 39c6 2a 1 3536 b2 0 2ea6 3a 0 0 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 0 1 1 1 1 
1 2056 07 1 367c 0d 1 36ea d7 1 3828 1d 0 3829 66 0 3a40 6e 1 3861 73 0 3553 f9 1 1 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 0 1 1 1 1 
1 3b29 c4 0 384e 8f 1 3ba8 d7 1 3a0e 1e 1 38a3 e0 1 3a49 6f 1 3767 f2 1 33f4 b9 0 0 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 0 1 1 1 1 
1 3be3 c1 1 3a2b 08 1 3967 11 0 3b6b 1c 1 2e92 25 0 3550 28 0 39ff 77 0 367a 7c 0 0 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 0 1 1 1 1 
1 3502 04 1 37b7 08 0 3943 d0 0 33b0 18 0 37ef 67 0 384d a9 1 3b30 37 1 3b83 7a 0 1 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 0 1 1 1 1 
1 3a5f 03 1 2e44 8f 0 34db 90 1 3923 d9 0 2e7b a3 0 37bf 2a 0 31ad 77 0 3121 3f 1 1 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 0 1 1 1 1 
1 306f 47 1 3913 4f 0 3477 57 0 3703 19 1 322e e2 1 3455 6d 1 30a3 f0 0 30eb b9 1 0 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 0 1 1 1 1 
1 38d2 82 1 37e5 8d 0 3aeb 13 0 30bc 5c 1 333d 21 0 3070 6d 1 3c00 b1 0 2d04 fb 0 1 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 0 1 1 1 1 
1 3a64 84 0 3b5b 0d 0 38f4 50 0 39ed 18 1 3afe a6 0 3bc8 ed 1 3b5d 34 0 301c ba 0 0 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 0 1 1 1 1 
1 3a5a 43 1 37ac 8b 0 37ac d0 1 3adf 1f 1 2298 a7 0 3bc6 2c 0 3682 f4 1 3129 7e 0 1 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 0 1 1 1 1 
1 3734 c3 0 31d0 8a 1 372d 51 0 322c 9b 1 3a75 23 1 3b89 ad 0 2718 30 1 37b2 3b 1 0 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 0 1 1 1 1 
1 39b5 01 1 398f 0e 0 3850 93 1 3525 9b 0 3bec 24 1 3636 2b 0 38e3 32 0 3af0 38 1 1 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 1 1 1 1 
